id;name;job_class_name;cron_expression;parameter;description;job_status;created_by;created_date;last_modified_by;last_modified_date
1;大方 invite;yowza yet;up near talking;拖 极 揽;劈 fingerling 好在;COMPLETE;22716;2023-12-31T14:37:56;23977;2024-01-01T06:20:05
2;meanwhile 捶;eek indeed;特地 because;果然;astride;BLOCKED;5104;2024-01-01T02:03:35;28207;2023-12-31T06:59:53
3;yippee 一定;ugh for;ew 共;versus trim;um fooey;PAUSED;11592;2023-12-31T21:12:50;12681;2023-12-31T07:26:17
4;干脆 大方 above;平坦;after;within understanding;共 boo ouch;ERROR;1541;2024-01-01T03:14:24;25892;2023-12-31T21:42:33
5;击;mastication 拖;inasmuch;that;incidentally boohoo across;ERROR;17734;2024-01-01T00:59:21;2448;2023-12-31T13:35:51
6;yet 短 转动;多亏 paddock;like 快;notwithstanding 滑 eek;below 一道;BLOCKED;15830;2023-12-31T19:02:41;12721;2024-01-01T00:06:00
7;though uniform;反正 turning;更加 chow;from;what;PAUSED;22775;2024-01-01T01:16:32;17977;2023-12-31T20:34:33
8;that;单 which 揽;slippers;别;软 幸亏;ERROR;8424;2023-12-31T09:05:05;13597;2023-12-31T13:01:30
9;fooey crunch;冷 弹;黑不溜秋;比较 along;少;BLOCKED;23407;2024-01-01T05:29:04;21616;2023-12-31T21:02:34
10;registration;平坦;furniture;优秀 绿油油;马虎 撕 没;ERROR;5219;2024-01-01T06:18:10;25972;2024-01-01T03:24:10
