id;text;type;i_18_n;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;order;api_permission_codes;component_file;redirect
1;mussel 好在 plus;MENU;软;false;拨 互相 level;驾驶;SELF;血淋淋;true;true;false;false;false;true;document 平常;who pouch;19396;滑 仅;luxury;掘 yellowjacket diesel
2;ugh finally;MENU;inside ugh;true;seminar flute 更;till 相当 uh-huh;PARENT;ugh which 许多;false;false;false;true;false;true;center;慢;9053;扔 who;攥 轻松 besides;while 啃 吞
3;restroom yippee 清楚;MENU;摸;false;索性 uh-huh lest;少;TOP;what below;false;false;false;true;false;false;finally screenwriting 甜;inasmuch 抛;26153;nor 按;摊 cost;舞 than
4;不;MENU;冷 ouch;true;倒 bafflement;ouch;PARENT;irony circa;false;true;true;false;false;true;times in unblinking;within midst riser;12848;坚固 hence redirect;移动;抿 拍
5;苦 举;MENU;渐渐 幸亏;false;slapstick 热;to lest;SELF;abaft 大;true;false;true;true;true;true;why whoever;抚 phooey;30758;er;copper 劈 and;blah ick
6;phew 净;MENU;太 整齐;true;so yippee mineral;or;PARENT;鲁莽 尽;true;false;false;true;true;true;优秀 拧;平常 多 uh-huh;28779;besides;how;一定 pish
7;yuck though 一定;BUTTON;aha;true;circa than 黑不溜秋;笔直;PARENT;sentence um 清楚;false;true;true;true;true;false;sock shoat;unlike;8074;插;整 uh-huh;although bah at
8;舞;MENU;gadzooks 何尝;true;抱;hence fooey 拧;PARENT;撑 now;true;false;false;false;false;false;惟独;软;16733;waterfall 轻松;热 ah;chandelier fooey phew
9;until for;MENU;仅 剪;true;跳 插;yum;SELF;掘 whoa;true;false;true;true;false;false;meanwhile why;mmm;23416;bitten support;干脆 必定 yippee;滑 依然 since
10;down wherever out;MENU;after atop;false;hmph;scrambled 笔直 捉;SELF;within 毅然 and;true;false;false;false;false;false;多 整;红 yet;24152;supposing;pace;操作 软
