id;name;code;send_type;content;test_json;type;remark;enabled;created_by;created_date;last_modified_by;last_modified_date
1;pence 许多 冷;oh 拿;EMAIL;and furthermore;百般;VERIFICATION;moment;true;107;2024-01-01T05:07:10;18095;2024-01-01T04:08:06
2;action 几乎;马虎 幸亏;SMS;blade 写;near 一齐;VERIFICATION;摔;false;19638;2023-12-31T08:00:49;9122;2023-12-31T22:52:38
3;as 搀 astride;toward 细;SMS;骨碌碌;清楚 gee;VERIFICATION;sensitive ignorance;false;32694;2023-12-31T09:55:06;18360;2024-01-01T02:21:32
4;with 切 好;干脆 更 whoa;EMAIL;lest;manservant inasmuch 好;PROMOTION;坏;false;29759;2023-12-31T21:29:48;2468;2024-01-01T05:11:37
5;甜;擒;WECHAT;into up jam;however;VERIFICATION;慢;true;22066;2024-01-01T05:41:15;27737;2023-12-31T22:18:12
6;好 多亏 communicant;红 saw;SMS;整齐 ick 扶;for;PROMOTION;细 十分;false;5054;2024-01-01T05:36:03;12822;2023-12-31T16:05:08
7;hiccups geez 果然;光;WECHAT;unless gosh;别 甜;VERIFICATION;aw anti wealth;true;30129;2024-01-01T01:44:18;32674;2023-12-31T07:06:22
8;likewise 推;caffeine zowie governor;SMS;likewise 好些 boohoo;via;PROMOTION;持 instead;true;17116;2023-12-31T11:31:01;7969;2023-12-31T20:05:11
9;hmph;尽 一共;EMAIL;eek;instead mix 统统;VERIFICATION;按 抱;true;21614;2023-12-31T09:07:30;18309;2023-12-31T13:45:50
10;uh-huh;vice whoa drat;WECHAT;once 一同 yet;软 勇敢 pfft;MESSAGE;做 抚 平常;false;31980;2023-12-31T17:55:05;29585;2024-01-01T02:03:13
